"Order";"MS.Zoning";"Lot.Area";"Alley";"Neighborhood";"Overall.Qual";"Year.Built";"Year.Remod.Add";"X1st.Flr.SF";"X2nd.Flr.SF";"Gr.Liv.Area";"Total.Bsmt.SF";"Bsmt.Full.Bath";"Bsmt.Half.Bath";"Full.Bath";"Half.Bath";"TotRms.AbvGrd";"Garage.Cars";"Garage.Area";"Yr.Sold";"Sale.Condition";"SalePrice"
1;"RL";31770;NA;"NAmes";6;1960;1960;1656;0;1656;1080;1;0;1;0;7;2;528;2010;"Normal";215000
2;"RH";11622;NA;"NAmes";5;1961;1961;896;0;896;882;0;0;1;0;5;1;730;2010;"Normal";105000
3;"RL";14267;NA;"NAmes";6;1958;1958;1329;0;1329;1329;0;0;1;1;6;1;312;2010;"Normal";172000
4;"RL";11160;NA;"NAmes";7;1968;1968;2110;0;2110;2110;1;0;2;1;8;2;522;2010;"Normal";244000
5;"RL";13830;NA;"Gilbert";5;1997;1998;928;701;1629;928;0;0;2;1;6;2;482;2010;"Normal";189900
6;"RL";9978;NA;"Gilbert";6;1998;1998;926;678;1604;926;0;0;2;1;7;2;470;2010;"Normal";195500
7;"RL";4920;NA;"StoneBr";8;2001;2001;1338;0;1338;1338;1;0;2;0;6;2;582;2010;"Normal";213500
8;"RL";5005;NA;"StoneBr";8;1992;1992;1280;0;1280;1280;0;0;2;0;5;2;506;2010;"Normal";191500
9;"RL";5389;NA;"StoneBr";8;1995;1996;1616;0;1616;1595;1;0;2;0;5;2;608;2010;"Normal";236500
10;"RL";7500;NA;"Gilbert";7;1999;1999;1028;776;1804;994;0;0;2;1;7;2;442;2010;"Normal";189000
11;"RL";10000;NA;"Gilbert";6;1993;1994;763;892;1655;763;0;0;2;1;7;2;440;2010;"Normal";175900
12;"RL";7980;NA;"Gilbert";6;1992;2007;1187;0;1187;1168;1;0;2;0;6;2;420;2010;"Normal";185000
13;"RL";8402;NA;"Gilbert";6;1998;1998;789;676;1465;789;0;0;2;1;7;2;393;2010;"Normal";180400
14;"RL";10176;NA;"Gilbert";7;1990;1990;1341;0;1341;1300;1;0;1;1;5;2;506;2010;"Normal";171500
15;"RL";6820;NA;"StoneBr";8;1985;1985;1502;0;1502;1488;1;0;1;1;4;2;528;2010;"Normal";212000
16;"RL";53504;NA;"StoneBr";8;2003;2003;1690;1589;3279;1650;1;0;3;1;12;3;841;2010;"Normal";538000
17;"RL";12134;NA;"Gilbert";8;1988;2005;1080;672;1752;559;0;0;2;0;8;2;492;2010;"Normal";164000
18;"RL";11394;NA;"StoneBr";9;2010;2010;1856;0;1856;1856;1;0;1;1;8;3;834;2010;"Partial";394432
19;"RL";19138;NA;"Gilbert";4;1951;1951;864;0;864;864;0;0;1;0;4;2;400;2010;"Normal";141000
20;"RL";13175;NA;"NWAmes";6;1978;1988;2073;0;2073;1542;1;0;2;0;7;2;500;2010;"Normal";210000
21;"RL";11751;NA;"NWAmes";6;1977;1977;1844;0;1844;1844;0;0;2;0;7;2;546;2010;"Normal";190000
22;"RL";10625;NA;"NWAmes";7;1974;1974;1173;0;1173;1053;1;0;2;0;6;2;528;2010;"Family";170000
23;"FV";7500;NA;"Somerst";7;2000;2000;814;860;1674;814;1;0;2;1;7;2;663;2010;"Normal";216000
24;"RL";11241;NA;"NAmes";6;1970;1970;1004;0;1004;1004;1;0;1;0;5;2;480;2010;"Normal";149000
25;"RL";12537;NA;"NAmes";5;1971;2008;1078;0;1078;1078;1;0;1;1;6;2;500;2010;"Normal";149900
26;"RL";8450;NA;"NAmes";5;1968;1968;1056;0;1056;1056;1;0;1;0;6;1;304;2010;"Normal";142000
27;"RL";8400;NA;"NAmes";4;1970;1970;882;0;882;882;1;0;1;0;4;2;525;2010;"Normal";126000
28;"RL";10500;NA;"NAmes";4;1971;1971;864;0;864;864;0;0;1;0;5;0;0;2010;"Normal";115000
29;"RH";5858;NA;"NAmes";7;1999;1999;1337;0;1337;1405;1;0;2;0;5;2;511;2010;"Normal";184000
30;"RM";1680;NA;"BrDale";6;1971;1971;483;504;987;483;0;0;1;1;5;1;264;2010;"Normal";96000
31;"RM";1680;NA;"BrDale";5;1971;1971;525;567;1092;525;0;0;1;1;6;1;320;2010;"Normal";105500
32;"RM";1680;NA;"BrDale";6;1971;1971;525;567;1092;525;0;0;1;1;6;1;264;2010;"Family";88000
33;"RL";4043;NA;"NPkVill";6;1977;1977;1069;0;1069;1069;0;0;2;0;4;2;440;2010;"Normal";127500
34;"RL";2280;NA;"NPkVill";6;1975;1975;855;601;1456;855;0;0;2;1;6;2;440;2010;"Normal";149900
35;"RL";2280;NA;"NPkVill";7;1975;1975;836;0;836;836;0;0;1;0;4;1;308;2010;"Normal";120000
36;"RL";2280;NA;"NPkVill";6;1978;1978;855;601;1456;855;0;0;2;1;7;2;440;2010;"Normal";146000
37;"RL";12858;NA;"NridgHt";9;2009;2010;1627;707;2334;1590;0;0;2;1;10;3;751;2010;"Partial";376162
